#Flower
Gorilla Glue, Hybrid, THC 20%
Wedding Cake, Hybrid, THC 21%
Gelato, Hybrid, THC 17%
Blue Dream, Hybrid, THC 18%
OG Kush, Hybrid, THC 18%
Sour Diesel, Sativa, THC 18%
White Widow, Hybrid, THC 16%
Durban Poison, Sativa, THC 17%
Bubba Kush, Indica, THC 17%
Northern Lights, Indica, THC 16%
Chemdawg, Hybrid, THC 18%
Strawberry Cough, Sativa, THC 17%
Tahoe OG, Hybrid, THC 18%
Super Lemon Haze, Sativa, THC 18%
Purple Kush, Indica, THC 16%
Cinderella 99, Hybrid, THC 16%
Afghani, Indica, THC 16%
Super Sour Diesel, Sativa,THC 21%
Haze, Sativa, THC 16%
Super Skunk, Indica, THC 15%
